Plataforma,Fecha,Hora,Nombre,Marca,Precio
MercadoLibre,31/12/2024,12:40:19 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,31/12/2024,12:40:37 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,1/1/2025,1:32:17 a.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,1/1/2025,1:32:38 a.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1759.20
MercadoLibre,1/1/2025,12:39:52 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1449.00
MercadoLibre,1/1/2025,12:40:14 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,2/1/2025,1:24:46 a.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1449.00
MercadoLibre,2/1/2025,1:25:05 a.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,2/1/2025,12:40:44 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1449.00
MercadoLibre,2/1/2025,12:41:08 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,3/1/2025,1:25:34 a.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1449.00
MercadoLibre,3/1/2025,1:25:55 a.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,3/1/2025,12:40:46 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,3/1/2025,12:41:09 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,4/1/2025,1:25:06 a.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,4/1/2025,1:25:27 a.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,4/1/2025,12:39:30 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,4/1/2025,12:39:55 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,5/1/2025,1:31:27 a.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,5/1/2025,1:31:51 a.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,5/1/2025,12:39:02 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,5/1/2025,12:39:22 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,6/1/2025,1:29:24 a.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,6/1/2025,1:29:44 a.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
MercadoLibre,6/1/2025,12:42:24 p.m.,"Silla de escritorio Boen YT-588 ergonómica gris y blanca con tapizado de malla","boen",1428.30
MercadoLibre,6/1/2025,12:42:41 p.m.,"Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro","ouo",1649.25
